text,DATE,VOTES,prediction,profanity_emoji
It’s like The Mist by Stephen Hawking outside,2026-03-04T13:56:39.453Z,1,1,🟢
This that early Erie spring weather,2026-03-04T13:31:03.240Z,1,1,🟢
I’m good from state to state,2026-03-04T07:44:35.349Z,1,1,🟢
Men’s soccer (true) champions party in my bed rn 😋😋,2026-03-04T07:34:34.594Z,24,1,🟢
interesting how msoc and flag football are full of poc and didn’t win….. over a bunch of white women…….,2026-03-04T05:53:18.340Z,43,1,🟢
we still talking about laker showdown 3 hours later?☠️,2026-03-04T05:19:25.358Z,45,1,🟢
only explanation for field hockey winning laker showdown was being promised the win 3000 years ago,2026-03-04T04:54:34.235Z,40,1,🟢
Fuck yall getting my fh post taken down,2026-03-04T04:44:39.446Z,13,0,🟡
how to make him ask me out no glue no borax,2026-03-04T04:29:38.564Z,26,1,🟢
So did we not see mlax fucking the floor,2026-03-04T04:28:50.675Z,41,1,🟡
flag football flips were sick,2026-03-04T04:20:20.987Z,48,0,🟢
You know it’s bad when their own teammates hating on them😭,2026-03-04T04:12:29.185Z,20,0,🟢
I don’t know how the fh team could celebrate their own win I would be so embarrassed,2026-03-04T04:05:46.903Z,34,1,🟢
"not the whole student body ganging up on fh, ts too funny😭😂",2026-03-04T03:52:07.254Z,68,1,🟢
Field hockey winning anything but games btw,2026-03-04T03:36:13.149Z,28,1,🟢
"1. flag2. wsoc
3. msoc

🤷‍♂️",2026-03-04T03:30:09.304Z,55,1,🟢
"HOLY SHIT HOW DO YOU NOY GET THE POINT OF WE DONT GIVE A FUCK ABOUT YOU, STOP POSTING ON THE SNAP STORY WE CAN TELL YOUR RUN THRU JUST BC OF THAT",2026-03-04T03:28:57.657Z,37,0,🟡
at least wrestling didn’t get the stage pregnant this year,2026-03-04T03:28:08.007Z,45,1,🟢
even tho rowing sucked those girls are UNITS!!,2026-03-04T03:27:18.984Z,42,0,🟡
All the trumpies were prolly mad about the MSOC,2026-03-04T03:22:59.489Z,60,1,🟢
Volleyball the only team that deserved top 3… where tf flag fball and msoc?!!!,2026-03-04T03:14:13.738Z,53,1,🟢
WHATEVER,2026-03-04T03:13:18.544Z,16,1,🟢
Yo anyone record it,2026-03-04T03:06:29.231Z,0,1,🟢
Performance sucked,2026-03-04T03:03:05.632Z,49,0,🟡
"Can’t lie, Volleyball fucked for bring out the AIM students.",2026-03-04T03:00:58.841Z,87,1,🟡
Abracadabra,2026-03-04T02:56:03.613Z,13,1,🟢
I fear Luke the laker ate down,2026-03-04T02:55:23.924Z,40,1,🟢
Field hockey acting like they just won the national championship,2026-03-04T02:54:22.626Z,38,1,🟢
hope you guys enjoyed the magic show😩,2026-03-04T02:53:19.111Z,46,1,🟢
golf what happened to my champs,2026-03-04T02:50:13.082Z,29,1,🟢
To everyone hating on wsoc let me just remind you of this,2026-03-04T02:42:27.109Z,15,0,🟢
Msoc actually had a good message behind it,2026-03-04T02:41:28.933Z,140,1,🟢
wsoc doesn’t get enough hate,2026-03-04T02:40:13.726Z,83,0,🟢
Disappointed the wrestling team did not give me my annual Magic Mike performance #refundme,2026-03-04T02:39:42.657Z,49,0,🟢
FLAG AND MSOC BY A MILE,2026-03-04T02:33:38.631Z,76,1,🟢
so who on field hockey fucked judge brosius to secure that win…,2026-03-04T02:32:27.594Z,24,1,🟡
golf i expected more from yall after last year,2026-03-04T02:31:22.427Z,43,1,🟢
Field hockeys season was so bad they really gave them the participation trophy,2026-03-04T02:30:52.695Z,42,1,🟢
update: it was the biggest pile of dog shit.,2026-03-04T02:30:15.889Z,29,1,🟡
The lakershowdown results were actually rage bait,2026-03-04T02:30:11.335Z,77,1,🟢
Did they list top 3 worst??? I’m confused,2026-03-04T02:29:48.873Z,85,0,🟢
So are we not supposed to call Laker showdown goonbait?,2026-03-04T02:29:08.196Z,29,1,🟢
Rowing’s performance might have been bad but the ginger in the pink pajamas can do me any day,2026-03-04T02:20:10.337Z,41,1,🟢
No chance matcha is straight,2026-03-04T02:19:53.629Z,51,1,🟢
Ding ding ding!!,2026-03-04T02:17:24.459Z,52,1,🟢
Pete Malo had the performance of the night tho…😍😋,2026-03-04T02:15:54.141Z,20,1,🟢
Sorry flag football. Don’t step over the line. Read the rules,2026-03-04T02:14:06.887Z,29,1,🟢
The girl on the flag team with the baby carrier has my whole heart 🥰🥰,2026-03-04T02:13:07.470Z,40,1,🟢
Keep dreaming lol,2026-03-04T02:12:36.065Z,19,1,🟢
Wdym put a ring on it Luke?! I already did,2026-03-04T02:09:34.426Z,16,0,🟢
no hate to field hockey!!! you just weren’t the best 😕,2026-03-04T02:07:16.133Z,89,1,🟢
anyone know if the flag football girls are wlw 👀,2026-03-04T02:07:13.443Z,54,1,🟢
Was football top 5 ?,2026-03-04T02:05:00.482Z,28,1,🟢
So like… who’s throwing?,2026-03-04T02:03:58.958Z,52,1,🟢
Brb burning all my field hockey gear,2026-03-04T02:03:07.228Z,32,1,🟢
FLAG FOOTBALL GOT ROBBED ARE WE SERIOUS?????,2026-03-04T02:00:28.105Z,180,0,🟢
Real winner,2026-03-04T01:59:35.088Z,17,1,🟢
At least wrestling didn’t impregnate the first 5 rows this year,2026-03-04T01:57:48.162Z,144,1,🟢
FLAG WON BRO IDC AND WTF WAS THE REST OF YALL DOING!!!! I WAS EXPECTING BETTER FROM FOOTBALL…. YALL LOOK LIKE YALL CANT FUCK.,2026-03-04T01:57:18.339Z,86,1,🟡
“And the winner is field hockey”,2026-03-04T01:57:14.270Z,172,1,🟢
maybe let’s let the students vote ?,2026-03-04T01:56:40.926Z,183,1,🟢
"1. msoc or flag fb2. flag fb or msoc
3. luke the laker

no one else deserved 3rd or to win.",2026-03-04T01:54:43.563Z,125,1,🟢
Laker showdown = gay sex,2026-03-04T01:53:44.655Z,40,1,🟢
The REAL Winner is…,2026-03-04T01:53:37.024Z,-2,1,🟢
msoc made me tear up why was that so cute,2026-03-04T01:51:23.463Z,214,1,🟢
goodbye alex jacobs,2026-03-04T01:50:58.426Z,31,1,🟢
Alex jacobs,2026-03-04T01:50:47.656Z,52,1,🟢
Who actually won?,2026-03-04T01:50:44.590Z,8,1,🟢
I just witnessed a massacre in the pac! Men's soccer won,2026-03-04T01:50:41.443Z,60,1,🟢
I beg your finest pardon but flag football and msoc should’ve came out on top,2026-03-04T01:49:27.791Z,206,1,🟢
Wow. Explains a lot….,2026-03-04T01:47:44.510Z,79,1,🟢
"quick question, was that a micro aggression when wsoc played bad bunny to represent the soccer players they’ve “hooked up” with? .. 🤨",2026-03-04T01:47:39.452Z,66,1,🟢
Laker Showdown:,2026-03-04T01:46:07.769Z,118,1,🟢
"judges, just say you hate diversity. not ranking the flag football and men's soccer was evil.",2026-03-04T01:45:44.836Z,158,0,🟢
All athletic teams should get together and boycott laker showdown next year…,2026-03-04T01:45:09.195Z,78,1,🟢
genuine question. why does everyone hate on the dance team so much? i thought they did great,2026-03-04T01:44:54.587Z,28,0,🟢
3937 is the track house btw not field hockey,2026-03-04T01:44:38.957Z,12,1,🟢
"Laker Showdown Top 5:msoc
flag
football
wlax
Luke the Laker",2026-03-04T01:44:33.844Z,167,1,🟢
"actual showdown ranking 1. Msoc
2. Flag football 
3. Wsoc",2026-03-04T01:44:18.198Z,158,1,🟢
Trophy for Laker showdown holds no value anymore after the joke that just happened in front of our eyes,2026-03-04T01:43:03.181Z,70,1,🟢
"real top three:1) Flag football
2) Volleyball
3) MSOC",2026-03-04T01:42:26.852Z,84,1,🟢
FLAG FOOTBALL AND MSOC ROBBED,2026-03-04T01:42:07.881Z,114,0,🟢
Netanyahu secret judge,2026-03-04T01:41:57.623Z,61,1,🟢
LAKER SHOWDOWN WAS SO RIGGED FCK THAT,2026-03-04T01:41:25.214Z,70,1,🟢
Who wonnnn,2026-03-04T01:40:36.025Z,5,1,🟢
Mlax snub of the year!!,2026-03-04T01:39:55.357Z,37,1,🟢
FIELD HOCKEY HATE TRAIN,2026-03-04T01:39:18.399Z,370,0,🟢
FLAG FB AND MSOC WERE ROBBEDD!!!!!!,2026-03-04T01:39:17.130Z,178,0,🟢
"I will not take the RA Ryan slander, Millsy your days are numbered",2026-03-04T01:37:33.900Z,25,1,🟢
Worst performance in the whole show won smh,2026-03-04T01:37:30.404Z,127,0,🟢
Gotta be some AIPAC money behind that win,2026-03-04T01:36:46.818Z,14,1,🟢
The president of SAAC is a field hockey player🤷‍♂️ Netanyahu plant,2026-03-04T01:36:46.219Z,43,1,🟢
STUNT ruined Teen Beach Movie for me 😐,2026-03-04T01:36:25.360Z,17,0,🟢
Stunt ruined teen beach movie for me,2026-03-04T01:36:20.468Z,16,0,🟢
That shit was staged more than the 2020 election,2026-03-04T01:36:06.788Z,64,0,🟡
Big yahu bought the laker showdown fr,2026-03-04T01:35:48.512Z,20,1,🟢
anyone else think they were naming the bottom 3?🤣,2026-03-04T01:35:18.516Z,178,1,🟢
Flag football won and everyone knows it,2026-03-04T01:35:07.586Z,184,1,🟢
Field hockey did not win 😭,2026-03-04T01:34:35.209Z,32,1,🟢
FIELD HOCKEY PLAYS FOR NETENYAHU,2026-03-04T01:33:42.594Z,29,1,🟢
"actual rankings:flag football 
men's soccer
women's volleyball",2026-03-04T01:33:37.788Z,140,1,🟢
Actually bow down and suck my dih you motherfuckers,2026-03-04T01:33:26.046Z,9,1,🟡
none of those should’ve placed,2026-03-04T01:33:21.740Z,75,1,🟢
rigged ass shit,2026-03-04T01:33:15.889Z,41,1,🟡
No way the worst one won are we deadass,2026-03-04T01:33:03.549Z,226,0,🟡
Flag Football robbed,2026-03-04T01:32:51.954Z,67,0,🟢
men’s soccer was ROBBED!!!!,2026-03-04T01:32:43.801Z,71,0,🟢
justice for flag football,2026-03-04T01:32:32.615Z,83,1,🟢
flag football and men’s soccer robbed,2026-03-04T01:32:26.990Z,157,0,🟢
that’s so gross,2026-03-04T01:32:17.355Z,12,0,🟢
MENS SOCCER WAS ROBBED,2026-03-04T01:32:06.137Z,102,0,🟢
Flag football got robbed,2026-03-04T01:31:56.434Z,81,0,🟢
Great idea make Luke the laker a queer instead of soemtbing cool,2026-03-04T01:30:46.049Z,28,1,🟢
flag football may have been the best,2026-03-04T01:29:47.805Z,66,1,🟢
mlax was horrible,2026-03-04T01:28:55.374Z,17,0,🟢
Men's lax genuinely what the fuck,2026-03-04T01:28:31.508Z,19,0,🟡
lax took advantage of having one black guy on the team,2026-03-04T01:27:30.299Z,47,1,🟢
flag fb got it,2026-03-04T01:26:31.477Z,53,1,🟢
men’s lacrosse doing pitch perfect wasn’t on my list,2026-03-04T01:26:00.440Z,54,1,🟢
Men’s lacrosse’s best performance this season and it still blew 1000 camel dicks,2026-03-04T01:25:17.298Z,38,1,🟢
Men’s lax are homosexuals,2026-03-04T01:24:09.495Z,42,1,🔴
Football reheating last years performance🫩,2026-03-04T01:17:30.409Z,44,1,🟢
backwards hat guy on wrestling can’t dance for shit💀,2026-03-04T01:16:58.918Z,22,1,🟢
"I guess if you play football, lax, or baseball you have pretty good odds of getting with wsoc",2026-03-04T01:16:09.592Z,41,1,🟢
yeah women’s soccer was the definition of mid,2026-03-04T01:14:36.626Z,21,1,🟢
I had high expectations for wsoc…,2026-03-04T01:13:53.115Z,19,1,🟢
The other 3 remaining women’s soccer players were loud asf in the crowd!!!,2026-03-04T01:12:07.441Z,26,1,🟢
wrestling wasn’t as disturbing as usual,2026-03-04T01:10:27.994Z,28,1,🟢
How is dance gonna let wrestling have a better mix than them,2026-03-04T01:10:09.302Z,43,1,🟢
Execute wrestling NOW,2026-03-04T01:08:13.543Z,36,1,🟢
Wrestling moves like old people fuck,2026-03-04T01:07:57.487Z,60,1,🟡
wrestling hit the pen too many times before preforming.,2026-03-04T01:07:42.689Z,65,1,🟢
I feel molested after watching wrestling,2026-03-04T01:07:38.711Z,58,1,🟢
flag football and msoc holding first place,2026-03-04T01:06:39.312Z,211,1,🟢
I’m filing a title 9 for wrestlings performance,2026-03-04T01:05:42.490Z,61,1,🟢
wresting and field hockey was sexual harassment,2026-03-04T01:05:37.489Z,47,0,🟢
Why was I raped by wrestling,2026-03-04T01:04:49.968Z,53,1,🟢
esports team should win,2026-03-04T01:04:02.434Z,28,1,🟢
Football was good type shi,2026-03-04T01:03:16.188Z,23,1,🟢
I think football got it tbh,2026-03-04T01:02:29.021Z,41,1,🟢
field hockey just wasted my mf time,2026-03-04T01:02:24.446Z,34,0,🟢
Field hockey what the fuck,2026-03-04T01:01:48.653Z,52,0,🟡
Does anyone record and post the performances ??,2026-03-04T01:01:34.442Z,26,1,🟢
Field hockey might have beat rowing for worst performance,2026-03-04T01:01:21.686Z,368,0,🟢
Golf was underwhelming,2026-03-04T00:56:58.873Z,70,1,🟢
golf mid,2026-03-04T00:56:09.107Z,34,1,🟢
football wasn’t bad,2026-03-04T00:51:32.512Z,47,1,🟢
Football team dance like they fuck… bad,2026-03-04T00:50:12.649Z,36,1,🟡
rowing had to be the worst,2026-03-04T00:45:37.470Z,34,0,🟢
severely unimpressed with the dance team ngl,2026-03-04T00:45:05.246Z,44,0,🟢
"if i’ve said it once, i’ve said it a hundred times: defund dance, stunt and cheer.",2026-03-04T00:43:36.231Z,106,1,🟢
msoc still is the best performance currently,2026-03-04T00:43:27.220Z,69,1,🟢
I fear the first part of stunt kinda ate,2026-03-04T00:39:15.760Z,54,1,🟢
Msoc deserves the win,2026-03-04T00:38:32.282Z,101,1,🟢
msoc was lowkey good,2026-03-04T00:29:22.958Z,96,1,🟢
flag football actually killed it,2026-03-04T00:21:48.733Z,257,1,🟢
Flag football ateeeee,2026-03-04T00:21:44.670Z,263,1,🟢
More like the Queen of not canceling class,2026-03-04T00:21:43.934Z,39,1,🟢
"Rowing’s performance tonight makes me want to go out into the middle of Lake Erie, tie a 100lb dumbbell to my feet, and jump off the boat.",2026-03-04T00:16:09.840Z,81,1,🟢
I feel like rowing was a middle school performance,2026-03-04T00:15:02.410Z,43,1,🟢
Row yo ass on home,2026-03-04T00:14:55.433Z,76,1,🟡
wlax shouldve stuck with the bald cap people,2026-03-04T00:10:08.595Z,24,0,🟢
not there being more people than seats at laker showdown,2026-03-04T00:05:08.273Z,16,1,🟢
abraham his ass,2026-03-03T23:44:28.319Z,119,1,🟡
Laker Showdown Bingo!,2026-03-03T23:43:12.445Z,27,1,🟢
I’m literally him,2026-03-03T23:35:18.072Z,13,1,🟢
who yall think is winning laker showdown?,2026-03-03T23:17:59.164Z,13,1,🟢
How old is too old??,2026-03-03T22:28:42.653Z,1,1,🟢
Btw Wsoc is dressing up as sports guys they have hooked up with for laker showdown. How christlike is that!!,2026-03-03T22:25:24.900Z,67,1,🟢
thank god that 17 year old is transferring,2026-03-03T21:33:54.168Z,4,1,🟢
how bad is the tullis medieval england midterm,2026-03-03T20:52:43.018Z,-2,1,🟢
"me n my homegirls pulling up to ww3 with our ninnies nd clihs pierced, kittens in the tank nd we finna have snacks n shi too ready to absolutely serve our cuntry:",2026-03-03T20:31:36.054Z,-1,0,🟢
catholicism test anyone know anything?,2026-03-03T19:46:39.350Z,3,1,🟢
Who shit on the floor in Ryan lobby?,2026-03-03T19:24:45.581Z,17,1,🟡
If you don’t go to laker showdown your lame asf,2026-03-03T19:21:05.275Z,53,1,🟡
So those big red signs that say “Stop” on the road means you’re supposed to stop your car at them. Just throwing that out there,2026-03-03T18:47:10.540Z,73,1,🟢
Is the mail room open during break?,2026-03-03T18:21:28.033Z,12,1,🟢
Me and my roommate are looking for girls to room with next year! We are both athletes! Wanting people who are nice and like to have fun on the weekends and do side quests while also wanting to chill at the same time. Text me if your looking for roommates.,2026-03-03T18:15:38.057Z,30,1,🟢
501 right now cookin up some fire af meals,2026-03-03T17:31:43.720Z,30,1,🟢
patties the weekend of the 21st??,2026-03-03T17:18:13.704Z,22,1,🟢
Are the summer online classes through here good?,2026-03-03T17:14:21.836Z,1,1,🟢
"Bro I have an exam tmrw, two on Thursday and a final on Friday and I have no motivation to study I think I’m cooked",2026-03-03T16:31:56.713Z,9,1,🟢
Sorry to anyone I woke up on Lewis with my screaming of Benjamin Netanyahu,2026-03-03T15:34:37.209Z,17,1,🟢
Whoever’s little kitty this isCutest little mf I’ve seen on campus,2026-03-03T15:03:30.481Z,158,1,🟢
why does grotto feel like they opened the gates of hell,2026-03-03T14:49:52.865Z,31,1,🟢
I promise i'm not mean i just have a BAD RBF,2026-03-03T14:42:55.614Z,67,1,🟢
were we supposed to get emailed tickets for laker showdown if we bought them online? i got a confirmation email but no actual ticket…,2026-03-03T13:53:27.667Z,18,1,🟢
girls transferring PLEASE dm me!! i need to use you for my housing selection to get a 2 person briggs/lewis🙏🙏,2026-03-03T13:47:53.717Z,1,0,🟢
"Nobody:
*That girl on Mercyhurst 29*",2026-03-03T07:20:59.842Z,33,0,🟢
Can warde 327 shut up…nhl 26 ain’t that important bro💀💀,2026-03-03T07:09:54.059Z,26,1,🟢
Can 214 warde PLEASE be quiet. Some of us have rowing practice tomorrow morning.,2026-03-03T07:06:42.354Z,9,1,🟢
Would it be possible to beg to keep a 4 person rooming situation for Lewis? Like how are we supposed to just kick out a 4th person?,2026-03-03T05:32:15.885Z,1,1,🟢
okay wsoc stfu,2026-03-03T05:31:50.783Z,16,0,🟡
Bro tell me why it is so hard to find two girls to live with next year. We need two girls (who are normal) but everyone already got roommates.,2026-03-03T04:48:39.110Z,4,1,🟢
it’s better to speak than to die. if you have something to say to someone just say it,2026-03-03T04:40:05.529Z,-1,1,🟢
"Up $1,000+ without warning is crazy",2026-03-03T04:28:06.186Z,14,1,🟢
it’s really looking like i’m transferring after this semester looking at the prices of everything😭😭😭,2026-03-03T04:23:35.952Z,26,1,🟢
Power hour free drinks rn,2026-03-03T04:20:51.594Z,3,1,🟢
Oh uh hiii what are you doing in my house,2026-03-03T04:08:04.570Z,12,1,🟢
opinions on james pitonyak for business law??,2026-03-03T04:05:36.279Z,16,1,🟢
YouTube can go fuck itself for kicking me off the student plan for no reason other than charging me more,2026-03-03T03:59:30.439Z,5,0,🟡
"HURST PATTYS☘️When: Sat March 15th
Time: starts at 3pm
Where: in front of town houses
Hopefully a townhouse will throw after! 
LETS MAKE HURST PATTYS HAPPEN!! ☘️",2026-03-03T03:48:48.237Z,60,1,🟢
748 be there rn,2026-03-03T03:44:31.627Z,0,1,🟢
whos pullin up to Tex Palooza?,2026-03-03T03:44:20.896Z,6,1,🟢
"Sir, were you just outside in your undies?",2026-03-03T03:37:51.639Z,4,1,🟢
What’s the best ways to find potential roommates when you don’t have much time and don’t enjoy the planned campus activities,2026-03-03T03:37:44.269Z,1,1,🟢
"laker showdown is either going to be utterly tragic or absolute cinema, no inbetween",2026-03-03T03:31:21.943Z,43,1,🟢
Skunk by west Duval,2026-03-03T03:20:38.554Z,9,1,🟢
"I have news for anyone who wants to go back to the past:The future is comin on 
Is comin on 
Is comin on 
Is comin on",2026-03-03T02:42:11.975Z,6,1,🟢
Chat I’m an official member of the Ella’s Fellas club,2026-03-03T02:38:54.038Z,13,1,🟢
"reducing the # of people per apartment AND raising the price is nuts. Especially for people who already had a 4 person group planned for briggs/lewis, are we supposed to just kick someone out? wtf",2026-03-03T02:37:38.880Z,14,0,🟢
748 tonight,2026-03-03T02:32:52.705Z,-3,1,🟢
what’s at swipe tn guys,2026-03-03T02:29:36.514Z,1,1,🟢
She has a name yk… that’s just degrading and rude,2026-03-03T02:17:47.129Z,87,0,🟢
"Yo whoever just smacked the car in front of my face in the warde parking lot, I’m like 13 beers deep you just made my night.",2026-03-03T02:14:04.373Z,26,1,🟢
"am I the only one not surprised by them raising the price of housing? they are requiring less people for a lot of the housing options, raising the prices on those makes sense to off set the cost of loosing 1+ people. plus most schools are raising prices",2026-03-03T02:12:17.911Z,47,1,🟢
Does any one else use the expression cross instead of angry/irritated,2026-03-03T01:38:44.898Z,17,0,🟢
Mercyhurst is going to get a lot of backlash with these new housing prices. I mean you don’t let kids live off campus all 4 years and expect them to put up with these raised housing prices?,2026-03-03T01:24:55.091Z,69,1,🟢
someone throw or i’m writing a special note tn 🥀🥀,2026-03-03T01:10:58.050Z,24,1,🟢
Has anyone who has had Wagner for APA please let a girl know how his exams are??? I'm currently stressing 😬,2026-03-03T00:33:33.797Z,11,1,🟢
i wanna ask him out but idk if he’s gay bro 😭 fuck my chungus life,2026-03-03T00:22:02.097Z,10,0,🔴
Who’s the best wlax freshman???,2026-03-03T00:08:03.183Z,23,1,🟢
Can this grotto worker play the music any louder.,2026-03-02T23:56:55.479Z,15,1,🟢
"they letting wrestling, water polo, and rowing do laker showdown 🥀",2026-03-02T23:47:33.770Z,11,1,🟢
I need you theater ppl to do les mis before i graduate pls and thank you,2026-03-02T23:30:52.183Z,26,1,🟢
what are you supposed to select for team affiliation on the laker showdown tickets if you’re not on a sports team?Are only the sports teams aloud to buy tickets i’m kinda confused,2026-03-02T22:57:16.012Z,8,0,🟢
I made that post about yearly housing cost. Maybe they shouldn’t have built Ryan and they wouldn’t be in so much debt 🤷🏼‍♂️ also they made Briggs/Lewis 3 people but then increased housing costs all around… that’s like a kiss before a gut punch.,2026-03-02T22:37:13.274Z,28,0,🟢
So like can a towner throw tn,2026-03-02T22:25:52.842Z,9,1,🟢
Whose dildo is this?,2026-03-02T22:20:46.501Z,79,1,🟡
HURST PATTYS??,2026-03-02T21:59:56.754Z,17,1,🟢
When is HURST PATTYS?,2026-03-02T21:59:49.130Z,10,1,🟢
"GRADUATION IN 2 MONTHS, TIME TO LOCK TF IN",2026-03-02T21:21:32.711Z,54,1,🟢
Mercyhurst raising housing prices for next year. that apartment I get better not  have a single thing wrong with it and it better come with a full fridge every week and a case a beer because they love stealing all my money. 🙂,2026-03-02T21:05:56.585Z,156,0,🟢
Clockey please throw,2026-03-02T20:47:51.999Z,30,1,🟢
What professor is best for research methods,2026-03-02T20:47:09.168Z,3,1,🟢
"I can’t small talk, can we just get to the point and crack?",2026-03-02T20:32:59.566Z,18,1,🟢
Ronald Reagan is sometimes called The Man Who Sold The World which kind of makes him like Kurt Kobain in a way,2026-03-02T20:28:56.692Z,6,1,🟢
Where DF the melanin fine shi out dis mf😭,2026-03-02T20:17:56.938Z,5,1,🟢
sooo who’s hosting tonight?,2026-03-02T20:05:06.601Z,15,1,🟢
What are some good electives to take ?? Or just side classes ..,2026-03-02T19:30:46.538Z,1,1,🟢
How to kick someone out of a snap community,2026-03-02T19:18:12.766Z,51,1,🟢
Can we make HURST PATTYS a thing,2026-03-02T18:51:16.003Z,47,1,🟢
How’s Dr Snyder for Phil ? (Intro to logic),2026-03-02T18:19:55.693Z,1,1,🟢
yeah pretty much,2026-03-02T18:18:04.937Z,39,1,🟢
IF I FIND ONE MORE PIECE OF HAIR IN MY FOOD @ GROTTO BRO,2026-03-02T17:56:48.204Z,9,1,🟢
anyone else's email just not been working properly recently?,2026-03-02T17:55:18.535Z,8,1,🟢
What’s the new housing changes?,2026-03-02T17:21:57.787Z,30,1,🟢
Sending tn,2026-03-02T16:43:40.500Z,0,1,🟢
Genuinely not trying to be rude but girl on the mercyhurst 2029 story please stop w the thirst trap  videos 😭😭😭,2026-03-02T16:26:11.630Z,131,0,🟢
Why did we get no warning for housing contracts,2026-03-02T16:22:57.803Z,15,0,🟢
does every meal plan come with swipe?,2026-03-02T16:22:10.252Z,24,1,🟢
odds i can get a 2 person briggs apartment as seniors? i know so many of yall that got this even as underclasmen…whats the secret,2026-03-02T16:20:28.107Z,8,1,🟢
Don’t let the clear blue skies deceive u it’s still freezing,2026-03-02T16:03:27.981Z,63,0,🟢
Why would you schedule 2 of my niche major required classes at the exact same time and only offer them in the fall at that one time…make it make sense Mercyhurst. It should not be my responsibility as a student to fix your shit,2026-03-02T16:01:26.036Z,74,0,🟡
"I gotchu, DM me 💜",2026-03-02T15:41:11.106Z,5,1,🟢
why is men’s rowing walking around with so much ass?!?!?,2026-03-02T12:59:16.706Z,35,1,🟡
wtm tn,2026-03-02T12:52:58.133Z,13,1,🟢
You know it’s Sunday when your hear the loud ass garbage trucks at 1145,2026-03-02T04:39:26.303Z,45,0,🟡
Kms I swear to god.,2026-03-02T03:46:54.625Z,18,0,🟢
Can we boycott police and safety and go on strike,2026-03-02T03:27:12.390Z,64,1,🟢
Sooo who’s throwing tmr,2026-03-02T03:24:27.473Z,27,1,🟢
buzz cut on a man is like a bob on a women…only works if you have the face card,2026-03-02T03:09:55.444Z,82,1,🟢
gonna repost this so he takes the hint,2026-03-02T02:31:25.122Z,41,1,🟢
I need that light skin with the cornrows asap.,2026-03-02T02:27:10.886Z,5,1,🟢
"Does the C store have laxatives? If so, please bring some to mcauly bathroom, I need help",2026-03-02T01:54:57.188Z,10,1,🟢
holy shit,2026-03-02T01:49:37.592Z,44,1,🟡
