text,DATE,VOTES,prediction,profanity_emoji
blasting foo fighters in my apartment hoping to attract cool friends. like a box and a stick with cheese under it 🪤,2026-03-02T01:31:18.325Z,28,1,🟢
#12 women’s hockey spotted in AIM building??,2026-03-02T01:23:20.279Z,18,1,🟢
Me being in the same class as you is me flirting btw,2026-03-02T00:51:56.390Z,82,1,🟢
to whoever’s revving their car outside ryan,2026-03-02T00:48:33.824Z,59,1,🟢
anyone in stats 109 willing to tutor me? math has never been my strong subject and i'm struggling pretty bad,2026-03-02T00:18:40.076Z,9,0,🟢
I wish I was Canadian they just seem cooler than everyone else,2026-03-02T00:05:17.684Z,44,1,🟢
fuck this wifi,2026-03-01T22:48:51.514Z,12,0,🟡
i'm gonna be honest guys i just be lying on this app to see who reacts sometimes,2026-03-01T22:16:51.110Z,65,1,🟢
crazy how BRUTAL yall get when things are anonymous. but it’s lowkey funny so keep being you,2026-03-01T21:53:03.334Z,28,1,🟢
Theater kings and queens: 1000/10 for that show. I’m not a Shakespeare person but ADORED it! Congrats to the seniors!,2026-03-01T20:56:19.787Z,94,1,🟢
Darty Tuesday???,2026-03-01T20:28:32.819Z,60,1,🟢
can you get into the warde townhouses with 5 people?,2026-03-01T20:18:49.967Z,4,1,🟢
Is the copy center open today?,2026-03-01T19:52:02.947Z,-1,1,🟢
The athletic director cannot operate a motor vehicle.,2026-03-01T18:56:05.735Z,13,1,🟢
Anyone willing to watch my pet duck for me this summer??,2026-03-01T18:32:33.602Z,-2,1,🟢
Who the stole the Coors Skis from the baddie house last night?,2026-03-01T17:12:48.544Z,2,0,🟢
3939 was so fun last night !!! love those girls,2026-03-01T16:39:53.710Z,70,1,🟢
Please God I can’t get sick rn,2026-03-01T15:04:04.611Z,4,0,🟢
How did msoc behave at the bar last night? Did any of them cheat on their girlfriends again?,2026-03-01T14:53:20.682Z,43,1,🟢
GREAT TOWNER NIGHT EVERYONE!,2026-03-01T10:57:02.839Z,34,1,🟢
"genuinely being here has made me more depressed then anything, like i just wanna focus on school, find love, have real friends and enjoy it but everyone here is so fake and the classes suck professors don’t teach, men only want sex like",2026-03-01T10:33:07.041Z,109,0,🟡
"""why is it snowing again"" ITS FEBRUARY THATS WHY!!!!!",2026-03-01T07:53:34.500Z,22,1,🟢
Fuck you whoever set off the fire alarm in Duval,2026-03-01T07:07:47.379Z,40,0,🟡
What is a yak match,2026-03-01T05:27:34.674Z,10,1,🟢
"Watching snl, eating cereal, weirdly digging my new yak match gc, and waiting for the good dryer to be available so I can have clean sheets before I sleep. Darn good Saturday night",2026-03-01T05:22:22.435Z,49,1,🟢
Men’s lax now,2026-03-01T05:09:36.539Z,-1,1,🟢
"why. does. my guy. FRIEND. think. i like. him. shut. your. bubble. gum. dumb. dumb. ass. up. 
no.",2026-03-01T04:51:52.608Z,17,0,🟡
guys. why is it getting cold again..,2026-03-01T04:50:36.863Z,58,0,🟢
Excuse me who logged into my TV? this is not the first time…,2026-03-01T04:34:05.119Z,36,1,🟢
"If you lost your pink iPhone 15 and the screen savor is the heated rivalry cast, I found your phone in the snow and I have it.",2026-03-01T04:28:25.151Z,42,1,🟢
Lax towner👀,2026-03-01T04:16:10.218Z,5,1,🟢
"it’s dead, go to bed chat.",2026-03-01T03:52:01.416Z,12,0,🟢
Mccoys is the vibe tn,2026-03-01T03:36:33.725Z,6,1,🟢
DJ Sean Kress > DJ Sleepy,2026-03-01T03:32:49.341Z,1,0,🟢
holy shit rapture outside rn,2026-03-01T03:32:45.867Z,4,1,🟡
The fact that people willingly chose Trump after all he had done over the last 10 years speaks a lot about how stupid and corrupt people are,2026-03-01T03:31:16.172Z,39,0,🟢
msg event was awful. and fuck the people who got seconds or budged the line,2026-03-01T03:16:50.150Z,32,0,🟡
the way it's 9:40 pm on a saturday omggg shut up,2026-03-01T02:44:50.229Z,26,0,🟡
THERE’S SO MANY PEOPLE AT LAX COME RN,2026-03-01T02:38:26.762Z,18,1,🟢
MLAX TN PU,2026-03-01T02:30:53.648Z,29,1,🟢
Come destroy are house-mlax,2026-03-01T02:27:42.269Z,58,1,🟢
Burn our house to the ground - mlax,2026-03-01T02:27:26.721Z,47,1,🟢
"msg, what happened tonight?! running out of food within 20 minutes of an event yall knew damn well was gonna be PACKED ??!!",2026-03-01T02:21:12.500Z,57,1,🟢
Men’s lax Right now!!,2026-03-01T02:20:41.834Z,21,1,🟢
is men’s lax really throwing???,2026-03-01T02:19:09.313Z,46,1,🟢
Men Lax be there!!!,2026-03-01T02:06:45.939Z,28,1,🟢
"I live at mlax, if u come here u will be kicked out",2026-03-01T01:57:41.217Z,25,1,🟢
Come too men lax at 9:30,2026-03-01T01:50:55.212Z,25,1,🟢
MSG I hope you step on Legos for the rest of your life that was EVIL to run out of food,2026-03-01T01:47:55.216Z,35,1,🟢
where is everyone going in their fancy ass fits,2026-03-01T01:27:51.299Z,1,1,🟡
MLAX theme?,2026-03-01T01:11:21.586Z,19,1,🟢
MENS LAXXXXXXXX TN,2026-03-01T01:00:11.411Z,26,1,🟢
mlax tonight we r back,2026-03-01T00:58:29.098Z,43,1,🟢
"who was that fine ass man on warde 4th floor a couple of mins ago hmu pls, he just like came up, circled the lobby and then left.",2026-03-01T00:35:53.291Z,1,1,🟡
what the heck men‘s rowing,2026-03-01T00:24:23.531Z,26,1,🟢
literally ts torture 🥹,2026-03-01T00:23:12.217Z,15,1,🟢
Men’s lax tonight!!!,2026-03-01T00:15:48.899Z,38,1,🟢
MLAX towner tonight. Be there or be square. Confirmed.,2026-03-01T00:15:43.635Z,41,1,🟢
wait so actually what townies are throwing,2026-03-01T00:05:05.936Z,5,1,🟢
4009 tn,2026-02-28T23:58:48.227Z,20,1,🟢
Mlax is back 🤫,2026-02-28T23:34:59.124Z,60,1,🟢
my fire stick cannot keep up with the shitty wifi on campus. can’t have anything nice,2026-02-28T22:36:29.413Z,19,1,🟡
tell me why I go to water polo today and they all have the biggest asses like put me on that workout plan,2026-02-28T22:11:07.498Z,17,1,🟡
How are pyne’s exams?,2026-02-28T21:19:43.095Z,9,1,🟢
Idk chat water polo pretty flame,2026-02-28T20:32:58.938Z,-4,1,🟢
Revival of the townies let’s get it tonight!,2026-02-28T20:26:02.136Z,85,1,🟢
Can that girl on MU snap story chill we don’t wanna see you PLEASE,2026-02-28T20:05:54.898Z,86,0,🟢
Are we great yet? Yet another war from the president of peace,2026-02-28T19:09:38.985Z,58,0,🟢
How do you transfer from here and still coming back all the time. Nobody wants you here 🤣,2026-02-28T18:46:04.786Z,49,0,🟢
As You Like It is MAGA’s worst nightmare GOOD JOB EVERYONE INVOLVED!!! 🎊🎊,2026-02-28T17:59:10.647Z,22,0,🟢
Does anyone know what 2tR means on course approval forms?,2026-02-28T17:57:01.254Z,1,1,🟢
when are st. pattys parties. i need them,2026-02-28T15:29:51.156Z,29,1,🟢
Day 2 of yak match gc and proud to announce they are 🆒,2026-02-28T14:41:11.485Z,48,1,🟢
bitches love to get ready and do nothing 😭,2026-02-28T07:26:15.774Z,25,0,🟡
what’s the tea on warde hall 2nd floor rn 😛😛,2026-02-28T07:15:51.168Z,1,1,🟢
"when he hits you with ""we need to talk"" but instead of breaking up it's him expressing his needs and feelings about the relationship so you can be healthy, learn, and do better",2026-02-28T06:38:42.320Z,130,1,🟢
"At the end of the day YOU are the one who is going to bed with yourself so who CARES. There is only one of YOU! You know you better than you think you do. You are so strong. 
(Now send in the Shut up comments but i wanted you to know this)",2026-02-28T05:38:11.834Z,61,1,🟢
its time for a revival of the townies…sullies is a disappointment,2026-02-28T05:37:23.930Z,86,0,🟢
ngl rayquaza 2v1s groudon and kyogre but prolly loses to deoxys,2026-02-28T05:15:37.249Z,4,1,🟢
sullies not the move undercovers and like no one in there,2026-02-28T04:27:01.064Z,22,1,🟢
Why do the washers here lowkey wash my clothes like a hot pocket. Half wet half dry. Parts are clean and other parts  are clearly untouched.,2026-02-28T04:10:30.193Z,21,1,🟢
Sullivans not wanting to make money is crazy,2026-02-28T04:04:53.635Z,16,1,🟢
fuck sullies,2026-02-28T04:04:16.888Z,43,1,🟡
Sullivan’s fall off needs to be studied,2026-02-28T04:02:28.697Z,45,1,🟢
Agent at sullies,2026-02-28T03:57:48.578Z,29,1,🟢
boycott sullivans,2026-02-28T03:56:03.183Z,22,1,🟢
"do guys actually like it when girls play hard to get?? cause coming from a girl, that shit just makes me think you hate me",2026-02-28T03:42:48.852Z,12,0,🟡
"GUYS WAITTT, sullivans is empty like 0 people actually. and yes it’s the old securities but omg there’s no one there and they have no DJ tonight.",2026-02-28T03:32:35.182Z,19,0,🟢
Sullys tonight. Everyone gets in,2026-02-28T03:07:14.528Z,8,1,🟢
Gotta rip sulls tn,2026-02-28T03:06:50.188Z,11,1,🟢
Tough decisions to make 😔😔😔,2026-02-28T02:53:36.692Z,34,1,🟢
Mando sullys tn,2026-02-28T02:49:03.382Z,15,1,🟢
Drew not working tn,2026-02-28T02:41:34.826Z,14,1,🟢
The literal first thing posted in my yak match gc was someone asking about sullys. Mind you the gc is like “you all like new food spots”.,2026-02-28T02:36:34.468Z,8,1,🟢
Who do i get ahold of to start a club?,2026-02-28T02:29:24.316Z,0,1,🟢
My boys working the door to sullys tonight. He’s letting everybody in. Raid sulllyyyyyy !!!!!!!!!,2026-02-28T02:26:00.273Z,28,1,🟢
SULLIES,2026-02-28T02:22:26.754Z,7,1,🟢
warde 339 with as much respect for it being a friday as possible… SHUT THE FUCK UP. your neighbors are sick of you,2026-02-28T02:11:13.244Z,6,0,🟡
sullies tn,2026-02-28T02:05:48.334Z,18,1,🟢
Me and my yak match gc about to rule the world,2026-02-28T01:22:56.822Z,76,1,🟢
Sullys is the move!,2026-02-28T00:18:07.302Z,14,1,🟢
Whoever has their clothes on a washer in duval please rewash them. You’ve neglected your wet clothes for so long that they’re stinking up the whole laundry room,2026-02-27T23:58:25.325Z,25,0,🟢
Me and my camel toe against the world,2026-02-27T23:49:52.174Z,56,1,🟢
Pull up to the Roost!,2026-02-27T23:27:39.383Z,4,1,🟢
Why can’t I order hot food at swipe at night online?,2026-02-27T23:24:08.034Z,3,1,🟢
Did this actually work?,2026-02-27T23:14:45.722Z,5,1,🟢
it's crazy that some of you are allowed to operate a motor vehicle,2026-02-27T22:59:03.857Z,54,0,🟢
Guys come to sullivans tn. I need money,2026-02-27T22:56:53.421Z,13,1,🟢
"Mailroom took care of my package so I took care of him….✊🏻🍆👄, All my fellow hurst girls it's an easy price to make sure yo shit is taken care of.",2026-02-27T22:37:14.736Z,-3,0,🟡
if i order roost on the get app do i pick it up at the roost express or inside the roost?,2026-02-27T22:32:17.796Z,1,1,🟢
Women’s HOCKEY WITH ANOTHER DUB 🎉🎉🎉,2026-02-27T22:30:19.614Z,68,1,🟢
flag football had media day at the jets stadium?? lowkey tuff 🫣,2026-02-27T22:07:50.803Z,3,1,🟢
Absolute banger,2026-02-27T22:07:43.598Z,1,1,🟢
bringing this up again bc ohhh my god.,2026-02-27T20:41:29.577Z,41,1,🟢
Yak group match update?,2026-02-27T20:36:19.422Z,11,1,🟢
i just love going to the dining halls after class to eat cold food,2026-02-27T19:58:54.879Z,36,0,🟢
War zone in my class right now. Student and Professor are arguing about random shit,2026-02-27T19:48:09.327Z,4,0,🟡
happy for u for getting the d girl but i can hear it walking through the hallway 🫩,2026-02-27T19:34:10.238Z,13,1,🟢
THE OTHER RYAN ELEVATOR WORKS AMENNNNNNNNN,2026-02-27T19:18:01.880Z,35,1,🟢
"to my un-revealed yak group match, this is me btw if i get ghosted for a 2nd week in a row",2026-02-27T19:14:41.589Z,48,1,🟢
if your gonna walk -2 mph on the sidewalk move tf over i got places to be,2026-02-27T19:03:30.227Z,43,1,🟢
Who’s throwing please,2026-02-27T18:59:49.361Z,2,1,🟢
The scunts are out and about everyone be safe,2026-02-27T18:57:07.220Z,6,1,🟢
why is the senior gift using ai for everything it just looks sloppy,2026-02-27T18:46:29.187Z,57,1,🟢
"hey guys, setting up my schedule for next term. how hard is chinese 101? what’s the course load like?",2026-02-27T18:34:31.273Z,-1,1,🟢
Everyone I want you to thank my friend for the weather being this nice. He broke up with girlfriend after a long time of pushing it back. Now it’s sunshine and rainbows,2026-02-27T17:49:39.365Z,40,1,🟢
pls stop trauma dumping on ppl then get pissy when they try to give u advice maybe get some help,2026-02-27T17:33:42.497Z,37,1,🟢
as a female how do u get pee on the toilet seat,2026-02-27T17:28:12.938Z,39,1,🟡
Okay As You Like It was actually the funniest play I’ve seen in a while 😭,2026-02-27T17:17:38.744Z,30,1,🟢
i found a white phone w a clear phone case and a fortune cookie paper in the back of the phone in front of the townhouses….i left it at police and safety,2026-02-27T16:37:48.117Z,5,1,🟢
So who’s throwing tn,2026-02-27T16:34:32.182Z,20,1,🟢
Me when I don’t buy a parking pass,2026-02-27T16:30:44.844Z,67,1,🟢
would you rather luke the laker oiled up or getzy shake sum for laker showdown,2026-02-27T16:20:34.430Z,43,1,🟢
Man in jorts and furry hat I want to be you so bad and give you flowers and rub your shoulders but just in a I appreciate you way,2026-02-27T15:57:05.687Z,16,1,🟢
When is HURST PATTYS?,2026-02-27T15:45:23.006Z,12,1,🟢
"Drafting myOpening message
To my group yak match
Today
🤭",2026-02-27T14:59:11.167Z,49,1,🟢
Communication is key🙌🏼,2026-02-27T14:56:34.355Z,20,1,🟢
Gimme some 🍑,2026-02-27T14:17:05.475Z,25,1,🟢
Actually pissed me off they said they have chicken fingers at roost and roost express like it doesn’t cost us our limited bonus bucks,2026-02-27T12:34:21.754Z,28,0,🟢
so yall just weren’t gonna tell me tobins pos psych exam was gonna do me like that…🫩,2026-02-27T07:40:38.077Z,12,1,🟢
Girl same 😭 what time is ur class maybe we can help each other out,2026-02-27T07:29:30.936Z,15,1,🟢
"Men’s golf yall are all skinny twinks, how come you are fie fy fo fumming 🧌 around upstairs god damn",2026-02-27T05:17:34.625Z,29,1,🟡
Shit my pants walking back to the dorm tonight.,2026-02-27T05:12:38.460Z,28,1,🟡
🚨beast alert🚨 the beast is out of hibernation and lurking for prey in warde. If you hear scratching at the door just hide.,2026-02-27T04:57:51.815Z,34,1,🟢
Hey so why would a man be in my wing again,2026-02-27T04:51:26.652Z,38,1,🟢
to the lunch server who gives me the tiniest chicken piece and says “cheers” fuck you.,2026-02-27T04:05:15.830Z,33,0,🟡
boycott exams and throw another hurst day,2026-02-27T03:59:12.036Z,65,1,🟢
Hardest semester of my life. Is it terrible if I bail on beach spring break and go home? I kinda just wanna hang with my mom and my dog nd watch greys anatomy (again),2026-02-27T03:54:58.371Z,52,0,🟢
stop being a wimp and text her,2026-02-27T03:12:17.665Z,74,0,🟡
Vote Trinity for MSG pres,2026-02-27T03:09:17.023Z,30,1,🟢
This goes for the cat owners as well!! I shouldn’t be able smell your cat litter through the freaking walls.,2026-02-27T02:53:42.137Z,41,1,🟡
As You Like It was soooo good!!!,2026-02-27T02:21:04.097Z,44,1,🟢
BRUNO MARSSSSS NEW ALBUM @ MIDNIGHT,2026-02-27T02:06:54.677Z,29,1,🟢
hi just wondering people’s thoughts on what is religion with vonthaden,2026-02-27T01:42:13.300Z,20,1,🟢
Anyone have a thermal camera? The less yk the better,2026-02-27T01:04:12.500Z,1,1,🟢
"Mailroom staff, if you don’t fuck up my very important package tomorrow, I will give you the best head you ever had.",2026-02-27T00:26:04.104Z,37,0,🟡
Men’s rowing gets more and more disgusting every day.,2026-02-26T23:53:09.172Z,47,0,🟢
duval get your shit out of the washers please!!,2026-02-26T23:40:24.544Z,19,1,🟡
Grotto: denies request for chicken fingers NICORETTE TUNA WRAP🔥🔥🔥🔥🔥,2026-02-26T23:40:11.312Z,48,1,🟢
when I’ve been stranded in the desert (college dining hall) dehydrated and parched (eating shitty food) but then I come across a beautiful oasis (ryan serving walking tacos),2026-02-26T23:12:30.053Z,43,0,🟢
To the blonde girl I just looked back 10 times at in grotto I think I love you,2026-02-26T22:39:25.865Z,36,1,🟢
The interests I am being matched on for yak match group day tmrw,2026-02-26T21:51:09.377Z,117,1,🟢
someone in my apartment building just started blasting lucid dreams by juicewrld and it's shaking the walls. are you okay,2026-02-26T20:28:25.520Z,45,0,🟢
bro level 1 warde girls side whoever is singing you ain’t all that,2026-02-26T20:27:26.294Z,17,1,🟢
Tobin test got me fucked,2026-02-26T20:13:38.606Z,9,1,🟡
been making eye contact with my gym crush for like 2 years at this point ahahaha,2026-02-26T19:54:15.170Z,11,1,🟢
why does the girls bathroom outside PAC smell like someone shart and smeared it in the walls.,2026-02-26T19:52:24.487Z,38,1,🟢
Can they please invest in microwaves in the dining hall if they’re not going to keep the food warm…,2026-02-26T19:24:21.689Z,68,1,🟢
Has anyone seen a car key and a couple house keys on a black lululemon keychain laying around anywhere in the Ryan lot or around Ryan??? I can’t find them anywhere,2026-02-26T19:05:59.676Z,7,1,🟢
"Dog owners of Mercyhurst, 90% of you are disgusting and you shouldn’t be allowed to have them",2026-02-26T18:04:15.155Z,100,0,🟡
who tf is blasting music in warde,2026-02-26T17:48:32.512Z,0,1,🟢
Has anyone taken French 1 ?? How is it is it easy did you like it & did you learn? How is the teacher…,2026-02-26T16:17:22.514Z,1,1,🟢
Do you think they died yesterday,2026-02-26T15:50:16.623Z,21,1,🟢
Fuck yeah,2026-02-26T15:42:45.050Z,9,1,🟡
MURDER PUNXSUTAWNEY PHIL,2026-02-26T15:42:13.586Z,20,1,🟡
"dear mailroom, i have a very important EXPENSIVE package coming today… from amazon PLEASE DONT FUCK IT UP",2026-02-26T14:09:35.000Z,28,0,🟡
What is the name of the sweet old lady who sits at the front desk in Ryan?,2026-02-26T13:13:36.777Z,30,1,🟢
how tf this prof gonna mark down my attendance for this 8am when she always at least 10 late herself 😐,2026-02-26T13:06:44.423Z,36,0,🟢
"I could be shitting at the same time as her, how romantic",2026-02-26T12:58:09.460Z,53,1,🟡
Does anyone else turn evil on their period and just like uncontrollably mentally spiral? Anyone know a cure?,2026-02-26T12:42:23.837Z,70,1,🟢
It’s 730 plz guys stfu,2026-02-26T12:36:56.007Z,1,0,🟢
Remember ladies. A man is not worth ur education. Not ever.,2026-02-26T07:00:03.658Z,74,1,🟢
"to the people who live on the top floor of 3910 lewis, are you mentally okay? why are you guys ALWAYS making noise after 12am EVERY night. people are trying to sleep.",2026-02-26T06:30:28.647Z,1,0,🟢
"be honest, does griffith care if i dont do my algebra homework but still do okay on the quizzes/tests",2026-02-26T04:59:38.231Z,6,1,🟢
Hottest football player?,2026-02-26T04:57:23.434Z,3,1,🟢
"If you’re in Baldwin, literally stop screaming “shut up mom” 😐 ik it’s your vocal stim but like it’s almost midnight",2026-02-26T04:27:50.878Z,48,0,🟡
Who does Jeffery Epstein make you think of?,2026-02-26T03:36:52.566Z,7,1,🟢
I’m at the red fox inn for red fox Wednesday. Where is everybody?,2026-02-26T02:56:22.233Z,9,1,🟢
wanting to fuck a football player at y'all's grown age 🥀,2026-02-26T02:46:00.211Z,7,1,🟡
WHEN YOU TELL A GUY UR A VIRGIN ND THEY START TALKIN LIKE THEYRE GONNA CHANGE THAT:,2026-02-26T02:44:13.002Z,84,1,🟢
32 women's basketball a bitch,2026-02-26T02:34:09.657Z,-4,1,🟡
genuinely pmo when i put my laundry in the washer while the laundry room is completely empty and i come back to switch it and all the dryers are taken bc somebody decided they were gonna go to a diff floor…,2026-02-26T00:51:37.812Z,21,0,🟢
Day 78 of the vending machine in McAuley not being stocked maybe one day this terror will end,2026-02-26T00:33:29.876Z,25,1,🟢
Intramural hoop championship tn!!! Pack the MAC AT 9,2026-02-26T00:33:27.289Z,-3,1,🟢
"Whenever through laundry on the floor in duval, I will find you…",2026-02-25T23:36:43.687Z,3,1,🟢
I know that yall remember where you’ve been letting your dogs shit go pick it up now that there’s no snow,2026-02-25T23:11:02.024Z,64,1,🟡
So does everyone have the coffee shakes from the roaming bean lattes?,2026-02-25T20:45:26.016Z,19,1,🟢
Anyone know where I could possibly get a tutor for stats 109??,2026-02-25T20:44:15.592Z,1,1,🟢
"Since someone brought up mailroom, call me crazy but I wanna hook up with that one guy there.",2026-02-25T20:37:33.453Z,15,1,🟢
Me when the grotto doesn’t serve surstromming and chitlins with soy sauce,2026-02-25T20:30:41.715Z,13,1,🟢
TF is up with that tall guy with black hair in the mailroom? He’s def rude AF,2026-02-25T20:26:22.354Z,41,0,🟢
wasn’t expecting ice cold spanish rice for dinner ❓,2026-02-25T20:05:16.019Z,5,0,🟢
"Just say you're a miserable person, that coffee was great",2026-02-25T19:49:58.308Z,46,0,🟢
Every time I let myself have a free day I always feel so guilty bc I know I should be doing stuff. Does this happen to anyone else? Need to know so I can feel less guilty,2026-02-25T19:48:51.223Z,30,0,🟢
women's lax defense please help the goalie🫩 she can't stop everybody,2026-02-25T19:29:57.783Z,42,1,🟢
You buffoons were really paying $8-$10 for coffee,2026-02-25T19:12:47.478Z,22,1,🟡
Let’s start a riot,2026-02-25T18:37:47.266Z,13,1,🟡
The coffee truck left????,2026-02-25T18:10:58.371Z,1,1,🟢
Does anyone know what’s on Dr Brown’s Intro to Creative Writing midterm⁉️,2026-02-25T17:39:33.437Z,4,1,🟢
they have got to put me down like a dog,2026-02-25T17:29:41.842Z,46,1,🟢
are housing sign ups in person this year?? or just online like they’ve always been,2026-02-25T17:23:43.976Z,13,1,🟢
My uncle’s neighbor’s sisters in law’s step father’s left nut works for Erie PD and ThErE rAiDiNg SulliEs tHiS wEeKeNd,2026-02-25T16:36:43.771Z,21,1,🟢
easiest science credit???,2026-02-25T16:28:56.894Z,3,1,🟢
I love you 2nd floor Zurn shitting bathroom,2026-02-25T16:19:01.434Z,18,1,🟡
Ppl who are not local who’s your faculty mom/ dad on campus,2026-02-25T15:49:11.237Z,17,1,🟢
Everyone get to Ryan rn roaming bean is here‼️‼️,2026-02-25T14:13:56.471Z,40,1,🟢
coffee truck on briggs 10/10,2026-02-25T13:53:32.216Z,52,1,🟢
I look disgusting BUT i have to because spring break is right around the corner 😜😜,2026-02-25T13:51:51.086Z,28,0,🟢
why the fuck are they bashing around outside at 5 in the morning waking everyone up,2026-02-25T10:38:11.103Z,22,0,🟡
guys will be the one to break up with you and then stare at you from across the room for the rest of your life,2026-02-25T06:50:04.052Z,107,1,🟢
!!!!!!!!!!!!!!!!,2026-02-25T05:04:09.381Z,17,1,🟢
Is this car like broken? I genuinely don’t understand.,2026-02-25T04:37:50.281Z,29,0,🟢
wassup wit this school and car alarms,2026-02-25T04:37:13.080Z,33,1,🟢
aim girl with the high heels needs to take a moment to realize no one gives a shit about what she has to say. i can feel my brain cells die every second she talks (no it’s not because she’s in aim but that’s the only way i can describe her so yall know),2026-02-25T03:57:05.995Z,51,0,🟢
yo who had the dogs called on em,2026-02-25T03:10:59.051Z,38,1,🟢
Yo ICE on campus with dogs,2026-02-25T02:38:21.897Z,5,1,🟢
"If we are in a 9:30am class, for the love of everyone sitting near you, brush your teeth. My body literally convulses every time you opened your mouth bro. I know you can smell it too",2026-02-25T02:33:11.950Z,46,1,🟢
"I fear that this wouldn’t work for me. One piece of clothing off of that man and I’m jumping his bones, I’m obsessed.",2026-02-25T02:25:21.419Z,46,1,🟢
Labor Day 2025 was the most memorable day on YikYak,2026-02-25T02:07:49.084Z,5,1,🟢
anyone know what swipe has tn 😋,2026-02-25T01:40:59.742Z,1,1,🟢
do mu students have to buy tickets to laker showdown?,2026-02-25T00:46:06.523Z,17,1,🟢
Sorry! Has anyone taken ethics with Pyne. How is it? She’s not on rmp,2026-02-24T22:36:11.009Z,1,1,🟢
"My class crush thinks about me outside of class, when I found that out I was about ready to propose!!!!!",2026-02-24T22:21:46.281Z,28,1,🟢
"Time to get down tonight, who wants to?",2026-02-24T21:30:18.424Z,22,1,🟢
IMPORTANT ‼️‼️‼️‼️‼️‼️‼️‼️Macroeconomics with J.Argaez or J.Spanogle?,2026-02-24T21:24:03.154Z,5,1,🟢
Inviting people over without telling your roommates is actually one of the most disrespectful things,2026-02-24T20:56:43.301Z,101,0,🟢
winner for laker showdown predictions?????,2026-02-24T20:17:13.198Z,10,1,🟢
